class,A.bes(H),A.bes(T),A.bes,A.bic(H),A.bic(T),A.bic,A.fuj(H),A.fuj(T),A.fuj,B.xyl(H),B.xyl(T),B.xyl,C.ele(H),C.ele(T),C.ele,M.ent(H),M.ent(T),M.ent,M.gra(H),M.gra(T),M.gra,M.inc(H),M.inc(T),M.inc,P.cof(H),P.cof(T),P.cof,P.vul(H),P.vul(T),P.vul,P.spe(H),P.spe(T),P.spe
M.gra,0.0,0.0027520038596136488,0.026209603023261398,1.543305142292734e-05,0.0012183235867446393,0.07728597378803939,0.0,0.0,0.012745604835614018,0.0,0.0005730496855301417,0.017026837639541756,0.0,0.0003016338500209468,0.006184812442817932,0.0,0.0005359204665722199,0.08114853884923363,9.536322793930659e-05,0.002858979564217079,0.9628525815893694,1.4831294030404153e-05,0.000622364476959813,0.1281938847897737,3.9215686274509805e-05,0.0005740219204620876,0.014286780494226412,1.555306706482518e-05,0.0004953998584571833,0.05303465812648461,1.0738139724674098e-05,1.4681054099684356e-05,0.03222137010133686
M.inc(H),0.03976839187371582,0.0006437997135281749,0.0001584758148298146,0.03387744553417905,0.0004959394953815634,0.00037661237171641087,0.0072958655349912496,0.0025609685074558537,0.000696891595374676,0.011915164369034994,0.0033753140527046656,2.7492164733051084e-05,0.00022820842415097154,0.0,5.90318772136954e-06,0.10284999700322732,0.0002993097550546698,0.001332029947294033,0.13548494848398748,4.7892720306513405e-05,0.0002669913281216626,0.3534544822931851,0.00018935090509732637,0.0034082302448876552,0.0075318087532258255,0.0016164383739776362,0.0,0.010457261297808195,0.0002562694490206846,6.252428629302291e-05,0.018895335147182633,0.0033913129851364677,0.0007007107487613264
M.inc(T),4.4356470777402596e-05,0.005703651926533752,6.0517145331610634e-05,5.389801407319724e-05,0.03467554772411916,0.0020436524155971556,1.9542318891559674e-05,0.0019344906495534597,0.00015092820848216533,1.5289058767319636e-05,0.006086548182493626,1.937608990505716e-05,7.399733609590054e-05,0.006440079975568072,0.001400872515753757,0.00021622957402773915,0.1259177762398917,0.008854289696298109,0.0008805293138356113,0.025108040928851563,0.0004322016705917635,0.00034699280645068364,0.45874853755954653,0.0032265756415946678,0.0,0.0036491606049508137,0.0003088010603168989,1.6312282332982618e-05,0.01660868900282318,0.00041247634146696814,1.7964125641094733e-05,0.007286010956685745,0.001792088210614541
M.inc,0.00020269711260031438,0.003943955611005319,0.0030187413525638337,0.00018643436126153132,0.003656658968437259,0.04076449389259017,7.207207207207208e-05,0.0026303501945525295,0.0159362629621332,2.3426061493411423e-05,0.0005864534108808917,0.00042291738990244885,5.872404397256413e-06,0.00014796401515151516,0.00041025641025641023,0.0016897600540723217,0.004056437389770722,0.11581819141251075,0.0020971815041653367,0.0015956643251000828,0.10204189399323105,0.0013723367933960323,0.007262616500527264,0.9365587439140926,0.00012899896800825592,0.00209374773599942,0.004156828020464383,0.00027838378329242793,0.000763621821422427,0.003837152294754711,6.942194659138242e-05,0.0015749296906388108,0.02441496266378249
P.cof(H),0.002548231693066246,3.9534372940918075e-05,6.922906513070448e-06,0.0024725960664408065,7.04049064397021e-05,0.0,0.010408768114870763,0.00025416384563303995,3.279548734094189e-05,0.02302738585922638,0.013393693536367043,6.440311195836983e-06,0.0006782207075915877,0.0,0.0,0.005239011518097789,6.313131313131313e-05,6.435006435006436e-05,0.028641657660912794,0.00034237316924459494,5.0962555262520856e-05,0.003878007800113869,8.438604929833e-06,4.8029009521751135e-05,0.7832193526261947,0.012139872617194018,7.01459034792368e-05,0.11941122213169712,0.0008505069481541929,1.808449074074074e-05,0.060395801677616004,0.0021791599703992444,0.0003704615282857712
P.cof(T),8.893368511546558e-05,4.0217374911396095e-05,0.0,0.00020443328173826698,0.009829261848074622,1.7905744162727403e-05,0.00018987931983295873,0.0010274946331840327,1.77210703526493e-05,0.0010631665299425757,0.016149259286304986,0.0,0.0021573874457538333,2.167734694616415e-05,3.878975950349108e-06,0.00032977904803781465,0.004233853202925367,0.00010471082360880037,0.0009216854144307263,0.0007232370752483197,1.1015642211940957e-05,0.00012703639338597722,0.0015692428403295408,5.207926464078327e-05,0.0014770148699448894,0.5973983884698244,0.0013428505514238803,0.0013647498754665738,0.07772293759552786,3.799969600243198e-05,0.00046611965021765096,0.032035649644559204,0.001003685407355132
P.cof,5.1041241322988974e-06,5.268343053426267e-06,0.00086880806152914,9.62584346453358e-06,0.0009006088115566122,0.019515532436506354,1.1389391920365372e-05,0.00015424164524421592,0.0034176235903174263,0.0,0.0031230997207511973,0.04214034268621713,5.3618664061196765e-05,0.000549792674818071,0.028605280974949222,0.0,0.00032443023021292534,0.009468246628464088,0.00012617699477942683,0.0002094460152895591,0.015793595544726768,8.094544277157197e-06,2.8122275654545962e-05,0.001917710732812705,0.0002710761724044456,0.020019686972683585,0.9146938846051744,0.00010126325915799599,0.0023836097216693507,0.0865600770492797,1.6616816218012627e-05,0.0018344022070151552,0.06551301395554991
P.vul(H),0.015521329084797895,0.00014714847280906436,3.390188042430087e-05,0.0058593765213920705,0.0004652515266065717,0.0,0.016498313390345486,0.00039538714991762766,0.0,0.059619064772795084,0.004127421646826955,4.2883281238087976e-05,0.0038107096405798945,0.0003401217719924418,4.918839153959666e-06,0.02307710307073816,0.00021164685091654378,0.0001297989558395108,0.026595507643517764,1.1574074074074073e-05,0.0,0.006657634596156006,2.2652622041001247e-05,4.145421382083489e-05,0.08961437914436247,0.008727933541017655,0.00020348185078638024,0.6917054342707344,0.0033458628745695793,1.3380432455576963e-05,0.10244010020250975,0.0028101140883095782,0.00031687057704555947
P.vul(T),0.00020580418620959502,0.0009932829242249286,4.1544456723139435e-06,0.0001747335313646689,0.01956816282070004,0.00022749893359874876,5.65936961696679e-05,0.0010137472297272179,1.9975629731727292e-05,0.0021326508087358815,0.014555022256796649,3.299216985835362e-05,0.0035853114215394517,0.003657880580957504,5.803409503083061e-05,0.00017771974684003408,0.014163075798833457,0.0005997675900588522,0.00040084828257544154,0.005347399381397501,0.00018175605429416854,1.6496954249821626e-05,0.006344185229119986,6.172458490216653e-05,4.805843906189927e-05,0.06767490418916873,0.0020680341014602853,0.00029218179838352615,0.742728582626784,0.0001172882946281961,8.709951642348481e-05,0.029925614551922136,0.0003684579654235955
P.vul,0.0,0.00016250840755302964,0.031520813778350185,0.0,8.386760101386612e-05,0.07212833551673282,6.07485435536683e-06,8.628308505307275e-05,0.017267760144890624,8.008008008008007e-06,0.000666424330546468,0.11439433216202019,0.0,0.001063821983212088,0.07319993542213203,0.0,0.000537376643094011,0.04632806865071255,2.9448575425163807e-05,0.00015550890288469014,0.09407702995161504,9.807382997920834e-06,5.618056433376873e-05,0.017008555615645887,7.40228977497039e-05,0.0003046865770017597,0.09203473862061928,1.0176252696706964e-05,0.0009595178620990445,0.8404647750874826,3.8221916446890644e-05,0.00019335627827835568,0.042311869701331
P.spe(H),0.015107630694414648,3.0394931476315596e-05,4.821600771456123e-06,0.005685603991450456,0.0005503955968352253,2.437359851808521e-05,0.0168712021451534,0.0004615384615384615,1.7286383515704678e-05,0.03411151173794971,0.0013398992991578342,6.334245464680248e-06,0.00018863754576780418,0.0,6.501950585175553e-06,0.02887649357564996,0.0002178649237472767,0.0002401068475471585,0.03430826250650328,0.0,4.4487448978456955e-05,0.016361322392592133,6.403360483581783e-06,0.00017684638680725954,0.08210829037780362,0.0012318709656225877,8.292986556043816e-05,0.165923572791433,0.0005935666334647244,1.1267351721651343e-05,0.5547532777021846,0.003862918164977662,0.0004983987083860163
P.spe(T),0.0004681511835517803,0.000481397722239933,1.1039355301650384e-05,0.0016059234650943096,0.02424775756696055,0.0004563663100248466,0.000601623770277944,0.003410090750088112,5.0170579971904475e-05,0.0009649181423321084,0.00830593661003257,0.0,4.6867493877933616e-05,3.071253071253071e-05,0.0,0.001941335274668608,0.02420153539700898,0.004956832543039439,0.0017438144803625926,0.0011081560283687944,7.365216537366198e-05,0.001145056468133884,0.010407820093650325,0.001501621751491611,0.0002292477093139046,0.041569785369165134,0.0008141112618724559,0.0008374918134450762,0.037343654645093725,0.00017200572435050642,0.001131278275208689,0.6047523881995069,0.0022273306175938975
P.spe,0.00011033518829922205,0.00020030229618336299,0.0014638118627404147,0.00019422152129833204,0.0018752138093796407,0.06242539800546093,3.3000033000033e-05,0.00026129858342247724,0.018985093415345024,8.858131487889273e-05,0.0005032028863717563,0.008285597381342063,0.0,0.0,0.00020168304613508973,0.0009823589306633203,0.002236149798823894,0.13896400379344823,0.00034544506013564006,4.1000410004100035e-05,0.061519739427595546,0.000387645572410402,0.0005611672278338944,0.04805975021290114,0.0002780396115653103,0.0028601633081907023,0.05531618663807543,0.00024247839923380698,0.0008736777500992816,0.044432754933467114,0.0005496777250815655,0.009441477750949919,0.7850026132387762
