class,A.bes(H),A.bes(T),A.bes,A.bic(H),A.bic(T),A.bic,A.fuj(H),A.fuj(T),A.fuj,B.xyl(H),B.xyl(T),B.xyl,C.ele(H),C.ele(T),C.ele,M.ent(H),M.ent(T),M.ent,M.gra(H),M.gra(T),M.gra,M.inc(H),M.inc(T),M.inc,P.cof(H),P.cof(T),P.cof,P.vul(H),P.vul(T),P.vul,P.spe(H),P.spe(T),P.spe,H.sp(H),H.sp(T),H.sp,M.ams(H),M.ams(T),M.ams
M.inc(H),0.016975438008215275,5.515567689804473e-05,0.0,0.01474548203614371,0.0,0.0,0.006909527095862501,0.0004034145003307999,0.0,0.0031241892242497623,1.0736410388550691e-05,0.0,1.3554543482975494e-05,0.0,0.0,0.15052310600909258,0.0,0.0,0.18221426197937796,7.086167800453514e-05,0.0,0.7527524680231044,0.0,0.0,0.002551883967398381,0.00015550487248600458,0.0,0.007683240555469988,0.0,0.0,0.04228141015685665,0.002903359055824851,0.00011886366337810531,0.00035842789075547695,0.0,0.0,0.0,0.0,0.0
M.inc(T),0.0,0.0034119212528574837,0.00010508617065994117,0.0,0.019006996302858077,0.0,0.0,0.0011852328763114382,0.00010627557255964716,0.0,0.008367993755804564,2.0767569363681676e-05,0.0,0.009452531696878161,0.0019484702093397744,0.0,0.17817979095879208,0.0,2.007226013649137e-05,0.046327209223707616,0.0,0.0,0.7865123617942474,0.0004193651864158542,0.0,0.0006651282747386995,0.0,0.0,0.014508112461716172,0.0,0.0,0.016053527821523465,0.0,0.0,0.03518557471044415,0.0008829642450332105,0.0,4.734848484848485e-05,0.0007102272727272726
M.inc,0.0,0.003919967333605554,0.000977399223390872,0.0,0.011400796419241107,0.027143131223963928,0.0,0.002962103236350489,0.02918220007399583,0.0,0.00037696729808689097,0.0018315018315018315,4.210349037935245e-05,0.0001560671088568084,0.0018297331639135959,0.0,0.01132940375630434,0.07455355119816442,0.0,0.0033184886061763353,0.07398123156707204,0.0,0.007655609258816757,0.9578871282971815,0.0,0.00011216071384063207,0.0010472520107238606,8.275816409288777e-06,0.0008915766329336335,0.00498443318340437,0.0,0.000562810535109704,0.05373305947603317,0.001176213628109295,0.00382077567248606,0.027856446952628407,3.751500600240096e-05,0.00023767082590612002,0.0021321961620469083
P.cof(H),0.0006695261010565959,4.170750526557254e-05,0.0,0.002166129609738632,0.0,0.0,0.010928261936778295,9.6819480079392e-05,0.0,0.004297538200339558,0.005055356149840758,0.0,8.451656524678837e-05,0.0,0.0,0.003491707195410899,0.0,0.0,0.03326533028083404,0.001431818240927131,0.0,0.001961476599584167,0.0,0.0,0.7743079829263944,7.201497911565606e-05,0.0,0.212924683631411,0.0,0.0,0.16418174081009862,0.0,0.0,0.0,0.0,0.0,5.634437683119224e-05,0.0,0.0
P.cof(T),0.0,0.0,0.0,6.275001960938113e-05,0.007812949594708107,0.0,8.748141020033243e-06,0.00048185675469475717,0.0,0.00016932377012800258,0.00684073399016109,0.0,0.0022580386174782226,0.0,0.0,1.7783468487693842e-05,0.002529358626919603,0.0,0.0003751162860486751,0.0,0.0,0.0,0.0001556178026766262,0.0,0.0,0.7674175159355975,0.0,0.00016250072141575877,0.13274805240043092,2.1466137168616506e-05,0.0001460726089876078,0.15745500096919177,0.00024300680419051733,0.0036337209302325585,0.001484230055658627,0.0,0.0016935093661436373,0.0,0.0
P.cof,0.0,1.4033512026719807e-05,0.00028203772254539045,0.0,5.217572785140353e-05,0.002473344385109091,0.0,5.087505087505088e-05,0.0016205524214107161,0.0,0.000799517878666131,0.04259802159974277,0.0010775862068965517,0.00020314880650076182,0.014334862385321102,0.0,2.491280518186348e-05,0.0,0.0,0.00011671335200746965,0.0003921568627450981,0.0,0.00041152263374485596,0.00045599635202918376,0.0,0.00255615256608741,0.946800203118138,2.32460830350086e-05,0.00234753264537585,0.13750361279880105,1.6896458502297915e-05,0.0002982264709953497,0.11075611494940471,0.0,0.0,0.0005707762557077625,0.00010107135637760258,8.591065292096219e-05,0.013180506067950112
P.vul(H),0.0100559851581868,3.8416472983615374e-05,0.0,0.004678362573099414,0.0,0.0,0.02926734089948294,0.0,0.0,0.031279666821521446,0.0013621271886262382,0.0,0.0002734990372833888,0.0,0.0,0.017224880382775126,0.0,0.0,0.03982778597008638,1.8037518037518038e-05,0.0,0.003632751525471832,0.0,0.0,0.10938499288433956,0.00016518610968357684,0.0,0.8569768291524908,0.0,0.0,0.19005133271626015,0.0007703012727655711,0.00011803936612860389,0.0012789768185451638,0.0,0.0,4.389815627743635e-05,0.0,0.0
P.vul(T),0.0,0.00022968558595345037,1.0336344655076179e-05,4.8676604806814724e-05,0.020418075486256553,0.0,0.0,1.1790784322973165e-05,0.0,8.33111170354572e-06,0.0068642768924006385,0.0,0.0017748478701825555,0.00011055331223398449,4.219409282700422e-05,0.0,0.008694421227505366,3.469451479721056e-05,0.0,0.0015363815142576205,0.0,0.0,0.003938080832856403,0.0,0.0,0.07297944979588185,0.0,0.0,0.8650700194965273,4.318721658389117e-05,0.0,0.08414809279656621,3.017956843217142e-05,0.0055204491214993195,0.018164079822616412,0.0,0.003923866022715284,0.00035714285714285714,0.0
P.vul,0.0,3.6012028017357796e-05,0.06740410631863762,0.0,0.0,0.05713125195668836,0.0,0.0,0.016650682011935206,0.0,1.196487113833784e-05,0.1780585096924244,2.2508328081390114e-05,8.116883116883116e-05,0.11052006729507338,0.0,2.3998080153587716e-05,0.01482789780662121,0.0,8.481764206955047e-05,0.130719259720092,0.0,6.92604713175073e-05,0.011964805015464682,0.0,1.5697108592597244e-05,0.1140483553084932,1.0081864741702624e-05,9.84251968503937e-05,0.91884214721486,0.0,1.2107563594977782e-05,0.1213523362853489,2.0729684908789386e-05,7.671653241273494e-05,0.01644117549633388,4.370247356000349e-05,0.0,0.00702571491101957
P.spe(H),0.0019628264701169683,9.827816652252535e-06,0.0,0.000587515299877601,0.0,0.0,0.019869889022990198,0.0001523907053860971,0.0,0.001529477196885428,0.004246109693127418,0.0,0.0,0.0,0.0,0.01687845511722502,0.0,0.0,0.03637770897832817,0.0,0.0,0.04178790317588065,2.4790520105111802e-05,0.0,0.11338958579243505,0.0,0.0,0.2084557613103456,0.0,0.0,0.8396596915203753,0.0,0.0,6.065016982047549e-05,0.0,0.0,0.0,0.0,0.0
P.spe(T),2.9819146874207925e-05,0.0002531645569620253,0.0,0.00014463640016070713,0.020094443886265446,0.0,0.00013976552934796585,0.004541999418173627,1.976597090449083e-05,0.000301654156720879,0.003811214115879909,8.33222237035062e-06,0.001578040945857038,0.0,0.0,0.0,0.017785843920145192,0.0,0.0006040375991516282,0.00125464217605139,0.0,0.00020165355918531962,0.019323671497584544,0.0,1.9647137412079057e-05,0.07089507618643044,0.0,7.495566127373162e-05,0.10557793486330479,0.0,3.106072371486256e-05,0.8329995283421694,0.0005502567865003667,0.0088961510530138,0.0021286031042128603,0.0,0.000614280800039314,0.0,0.0
P.spe,0.0,0.00013965388181929906,0.000947293634713049,0.0,0.002416650226869205,0.025220959984483336,0.0,0.00022191056116742708,0.017221688240282487,0.0,0.00012749207158679817,0.01413262810321634,0.0005441066449024009,4.432602115059067e-05,0.00025176233635448137,9.565350474441385e-06,0.00132013201320132,0.046201044000411945,3.652634462606154e-05,0.00045341926600953074,0.06332992826641295,0.0,0.0013608172457594693,0.06701589015471998,8.055810656226335e-06,0.0012409883019412248,0.07535081401206076,2.330174005743879e-05,0.0043310290037992605,0.060657009210091456,0.00010578652279699566,0.003931778144115398,0.8633305560849531,0.00039999999999999996,0.000940692290732711,0.011841335509103228,0.00023847376788553262,2.8760425654299685e-05,0.003049361539927577
H.sp(H),0.0056791650365359625,0.00017198679141441938,0.0,0.00014280058128107238,0.00014554492166432467,0.0,0.00030773288785334327,0.004068751761059454,2.166612501354133e-05,0.003213754092467998,0.0003111624682792119,0.0,0.02159491396586276,0.0,0.0,0.0003746810846855174,1.36332651670075e-05,0.0,0.0006796305029265721,0.0,0.0,1.4793118241394104e-05,0.0001243897129707373,3.3575073865162504e-05,0.00021696091991430045,0.001814110657412821,0.0,0.0005363223361068415,0.0008834134951244597,0.0,0.00019813436680219055,0.011044241505050179,0.0,0.8223222961985746,0.0,0.0008865248226950354,0.02413007456503728,0.0,0.0
H.sp(T),0.0,0.001738617047077775,0.0,0.0,0.11109603380377468,0.0,0.0,0.004484133151959034,0.0,0.0,0.025377944078459905,0.0,1.4178765880217785e-05,0.025660693736643102,2.364066193853428e-05,0.0,0.04267802337372696,0.0,0.0,0.008804697845190805,0.0,0.0,0.09443419582835631,3.665017408832692e-05,0.0,0.00968895696357084,0.0,0.0,0.0360048469145552,2.4113817217265492e-05,0.0,0.004937717427898102,2.7277686852154935e-05,0.0,0.84117174628949,0.0,0.0,0.004671764267064528,0.0
H.sp,2.041649652919559e-05,0.0023597616932018463,0.0018834201372206099,0.0,0.0019489095770383017,0.12560132435819843,0.0,0.003087566296249662,0.023758960287252887,0.0,0.006166825476697751,0.022263721127357493,3.3939723051859896e-05,0.001054629824931449,0.06131514830436428,0.0,0.0019230769230769234,0.046197902841942896,0.0,0.0008280251302792074,0.015340398206518611,0.0,0.00817484095099598,0.06383187448980215,0.0,0.00010788521013641486,0.019416397708291837,1.2563287561088986e-05,0.0008376437870242896,0.038405619538909114,0.0,9.451001806191455e-05,0.034696505566085355,0.0005716847589639109,0.003959672079489112,0.7323547802959568,0.00013727778159104947,0.0003754693366708386,0.04385579587678824
M.ams(H),0.0064791121617787965,0.0,0.0,0.001024182076813656,0.0,0.0,0.0009443528964380783,0.0013049641840028072,0.0,0.00787966810938278,0.0005264543300868649,0.0,0.2411170356255246,0.0,4.098360655737705e-05,0.0002575328354365182,0.0,0.0,2.88300755347979e-05,3.8580246913580246e-05,0.0,3.265412748171369e-05,0.0,0.0,0.0004345228396067568,0.0009355995633868706,0.0,0.0023552311435523117,0.0004012237323837705,0.0,0.0008964015879113843,0.00017088174982911824,0.0,0.04824759171961467,0.0,0.00010364842454394692,0.9741865977160096,0.0,0.0
M.ams(T),0.0,0.01210775168061386,0.00025031768491064264,0.0,0.002792333149476007,0.0,0.0,0.006150565852058389,0.0,0.0,0.006688653375824502,0.0,0.00014863258026159333,0.22884957126916994,0.001176980913823019,0.0,0.00248015873015873,0.0,0.0,0.0003429355281207133,0.0,0.0,0.002262443438914027,0.00019805902158843337,2.2332395372727676e-05,0.00027039176080563787,0.0,0.0,0.0001826446951862976,0.0,7.209155627647112e-05,2.1299708193997742e-05,0.0,0.0,0.007512780617915091,0.00010390689941812135,0.0,0.9792785917785918,0.0017921146953405016
M.ams,0.0,0.009007166150455399,0.00323221202049489,0.0,0.00022861207071733384,0.016605796099612227,0.0,0.0007756948933419522,0.03044612828147298,0.0,0.00050780843490353,0.005374944204731439,0.0004318982793172552,0.0026168006310378577,0.23523922985342793,0.0,0.0006790554295352759,0.00020169703975727118,0.0,0.0011014213912764635,0.0,0.0,0.0009394917290946572,0.0009483967925428916,0.0,0.0,0.0150093808630394,0.0,8.443984716387663e-05,0.007367415374282862,0.0,0.0,0.007998025326506291,0.0,0.00016604400166044,0.011285798349706963,0.00907444128424182,0.023048041061239102,0.9633397218536539
