class,A.bes(H),A.bes(T),A.bes,A.bic(H),A.bic(T),A.bic,A.fuj(H),A.fuj(T),A.fuj,B.xyl(H),B.xyl(T),B.xyl,C.ele(H),C.ele(T),C.ele,M.ent(H),M.ent(T),M.ent,M.gra(H),M.gra(T),M.gra,M.inc(H),M.inc(T),M.inc,P.cof(H),P.cof(T),P.cof,P.vul(H),P.vul(T),P.vul,P.spe(H),P.spe(T),P.spe
M.gra,0.0,0.0,0.06823937091829936,0.0,0.00025303643724696357,0.045664983053196995,0.0,0.0,0.006146659290675518,0.0,8.577320563363873e-05,0.01727654650446553,0.0,0.00013986013986013986,0.10567533756883107,0.0,0.0005847953216374268,0.009437708596193872,0.0,0.003661973951063821,0.9867208874729692,0.0,0.0015216592832460064,0.08263669589496755,0.0,3.768465480856195e-05,0.016864295125164692,0.0,3.514320857494289e-05,0.03954442561648309,0.0,0.0,0.02822039332213654
M.inc(H),0.018838382462128257,0.00018691660918505532,0.0,0.01390559282942959,0.0,0.0,0.00608275579994368,0.0020491740884524623,0.0003110372012811037,0.000935064935064935,0.0005468505870273649,0.0,0.00010115541968259677,0.0,0.0,0.12935213931201742,1.4736221632773356e-05,0.0,0.17484943170589856,6.645401382243487e-05,3.421962153098587e-05,0.7499737580434341,0.0021947873799725653,0.0,0.0040157655982747086,0.0,0.0,0.010887472289384251,0.00012537155490446647,0.0,0.023097236445098552,0.0010820197702377772,0.0001306549077249714
M.inc(T),6.955070246209487e-06,0.002845914080498713,4.8074611797509735e-05,0.00010188304053773074,0.019967923379267054,0.0001876172607879925,1.2012012012012012e-05,0.0009619076718335173,4.12847824291966e-05,0.0,0.009089635754507708,8.114248620577734e-05,0.0,0.012537370578579092,0.004469452552875505,1.3016765594085182e-05,0.17114147321957524,5.9926889195181884e-05,0.00011185126267647642,0.03135387726627545,0.0,0.00011159726778003539,0.8197275019122814,0.0002546473134708429,0.0,0.0012172670844944316,0.0007568189386371205,0.0,0.021041113757935215,0.00010642826734780758,1.8963097811658513e-05,0.014468399915451279,0.0007522016250669002
M.inc,0.0,0.0027556352263625613,0.0017910893305803626,0.0,0.0047904956566172715,0.038804152042674234,0.0,0.001987577639751553,0.01572186219843953,0.0,0.0002967776773806627,0.0005221023320570832,0.0,3.51000351000351e-05,0.0013445378151260505,0.0,0.0029365058444848617,0.061466039080637594,1.8501387604070305e-05,0.0020595916429249762,0.07800890943878103,0.0,0.005079246184575191,0.9589854966408211,0.0,7.048002428209294e-05,0.008141831671243435,0.0,0.0007303077725612937,0.0034826998981410742,0.0,7.900594558181765e-05,0.02576826682662125
P.cof(H),0.0005879002774154434,6.980193700375186e-05,0.0,0.001018382414331462,0.0,0.0,0.007897097658668487,3.110419906687403e-05,0.0,0.010502732240437157,0.005768811341330424,0.0,0.0005046257359125315,0.0,0.0,0.0005339741022560407,0.0,0.0,0.012412463603089799,0.003129890453834116,0.0,0.0008118641828511032,1.867727535907062e-05,0.0,0.8648320361963928,0.004826654900859707,0.0,0.1333254993635977,5.5451583835863317e-05,0.0,0.10368406635208495,0.0025013027618551328,0.0
P.cof(T),0.0,5.8256951996271554e-05,0.0,4.14443350774491e-05,0.012204424103737604,0.0,0.000599351950703302,0.002818003913894325,0.0,0.00046292947558770344,0.00980685121295265,0.0,0.001704442155020908,0.0,0.0,0.0,6.39488409272582e-05,0.0,0.0010219306313487442,1.3643309321108926e-05,0.0,0.0,0.0007042098545366519,0.0,0.0005812143060250734,0.8179849976594334,0.0,0.0017835044041639373,0.09674705298154229,1.9898121617319322e-05,0.0002923360465053228,0.0928547815098852,0.00022146759190905068
P.cof,0.0,0.00010366155653586113,0.0011834838257210485,0.0,0.0008473778363619242,0.01008827238335435,0.0,0.0,0.0010781442398732346,0.0,0.0003342201307469151,0.05442575716965961,7.78391842453491e-05,0.00016592710585201198,0.036074764940729455,0.0,9.24000924000924e-05,0.00011802195208308746,0.0,0.0,0.0006103608758678569,0.0,0.0006019946728589892,0.0006299138012692999,0.0,0.004115075808841011,0.9489195913272521,1.7829125659677652e-05,0.0024022495091677483,0.11573685610614681,0.0,0.0001238390092879257,0.08555861167588577
P.vul(H),0.012054369993961426,2.54295832929664e-05,0.0,0.006564432440110881,0.00044435667028735066,0.0,0.027163807579961983,0.0,0.0,0.10198385563022354,0.0008276560234206135,0.0,0.004261913986826812,0.0,0.0,0.017585931254996,0.00012254901960784314,0.0,0.04270423190353619,0.0,0.0,0.007449774633296966,5.561116672227783e-05,0.0,0.08562192852804516,0.009994207509488446,2.7903342820469895e-05,0.8530978111738627,0.004696400764391984,1.9095630919645585e-05,0.15868737272347727,0.0025811655575720908,0.0002941494995328484
P.vul(T),0.0,0.0002380640052082574,8.012435299584956e-06,2.1612742873198038e-05,0.015641404277193738,0.0,3.278984170703916e-05,0.0001356443104747551,0.0,5.3372868791697556e-05,0.005731841384204121,0.0,0.002027159731769591,0.0010863824971708788,3.9177277179236047e-05,9.207848770291798e-06,0.01212040725984949,0.0,0.000164496029452115,0.0005619781631342326,0.0,4.272956458573687e-05,0.010093868373053322,0.0,3.3460483169376966e-05,0.08607526849885956,0.00043927827541272917,0.00011944755505785741,0.8259774981064582,7.134703196347032e-05,0.0,0.04873799274097634,0.00034036134052677433
P.vul,0.0,0.000216059252089293,0.06687024536590594,0.0,0.00017942583732057413,0.06323353481486199,0.0,0.0,0.018209619494351795,0.0,4.137445954612218e-05,0.18502006830069556,1.3994626063591582e-05,0.00012285012285012285,0.15474595591499843,0.0,0.00036597862684819204,0.013639537261584506,0.0,8.946144211844694e-05,0.12203331369198478,0.0,0.0006459948320413436,0.016368280020538466,0.0,5.425715177081779e-05,0.08702134361886292,1.5124016938898971e-05,0.00022586892667680438,0.9256906756643672,1.443876519680037e-05,1.4619883040935673e-05,0.08576613641101541
P.spe(H),0.004263824117255163,5.085370659953977e-05,0.0,0.005833813369228336,0.0,0.0,0.028498092687281876,0.0001015228426395939,0.0,0.01015277405521308,0.00022190662169359134,0.0,1.1793009104203028e-05,0.0,0.0,0.0302297755964154,0.000657541599570585,0.0,0.03394941607244467,0.0,0.0,0.02311652890261891,0.00072102296973175,0.0,0.13982322387420934,0.00035000412589848603,4.0894777736883e-05,0.2035996145052972,0.0009630818619582664,0.0,0.7505897197074958,0.005336535254486025,2.9337557941676933e-05
P.spe(T),3.972247232667761e-05,0.00022914971426433588,0.0,0.0003906432983294469,0.011551162464786392,0.0,0.0001967032534718124,0.005772005772005771,3.220300776092487e-05,0.0002846768336964415,0.00440377691275017,0.0,1.1009820760118026e-05,8.002560819462227e-06,0.0,8.095199546668825e-05,0.03175760789604071,0.0,0.0020834013183657486,0.0003822629969418961,0.0,0.000567036299277826,0.017787605997850564,0.0,0.00014923107334027314,0.06053056820000753,2.134016218523261e-05,0.0006870088779167748,0.06428328764490962,0.0,0.0015449837319718642,0.6881756185527269,0.0009263507189697738
P.spe,0.0,3.624140399199065e-05,0.0011743153741368784,0.0,0.00030914290130612873,0.03812613415387265,0.0,3.558718861209964e-05,0.01340770509977827,0.0,4.7487326819655006e-05,0.004116809116809117,0.0,0.0,0.0009482789126653127,0.0,0.0005849686448024679,0.06521247852078182,0.0,0.00019809825673534074,0.12984396696547998,0.0,0.003501911386852165,0.06452751811738243,0.0,0.00014005723326445746,0.11571395045029381,0.0,0.0012793176972281449,0.08332781136901503,0.0,0.0010145603689033279,0.8207476676277465
